year,authors,paper,fig,dataset,ΔT,q''
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,6.222323232323233,4.807767620337444
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,10.733232323232322,11.256090231928198
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,15.41121212121212,25.084924665650902
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,17.248989898989898,31.170405169008518
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,18.919696969696968,41.098006367210274
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,20.256262626262625,51.588148947576315
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,21.75989898989899,60.742620337452706
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,23.597676767676766,69.33066136222558
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,25.22661616161616,76.88909415382878
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,26.939090909090904,89.17322456407649
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,28.526262626262625,99.66618665707352
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,30.196969696969692,109.6014685965803
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,31.71253968253968,119.66354526913184
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,33.53838383838384,131.3778285649794
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,34.95848484848485,143.7532230871018
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,35.87737373737374,154.68722560803565
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,36.62919191919192,163.54768988770383
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,37.21212121212121,174.84086676824106
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,38.4669696969697,184.98104156085998
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,40.30474747474747,194.40035268890017
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured,41.64131313131313,202.34029470684496
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),5.386969696969698,6.709156195725086
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),7.391818181818182,11.897355740162965
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),9.563737373737371,16.075123441115068
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),11.401515151515149,22.60686473675301
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),13.23929292929293,30.626142006658768
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),14.993535353535353,39.56798325433104
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),16.58070707070707,50.65343189812461
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),18.000808080808078,60.51584401980699
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),19.587979797979795,71.25687461204222
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),21.425757575757576,83.75334349077363
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),22.727272727272723,137.37938039614016
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),22.909090909090907,153.79126460132045
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),23.030303030303024,124.46250211613341
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),23.096464646464646,96.15142110114175
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),23.27272727272727,104.91112239715588
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),23.33333333333333,161.1266294227188
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),23.515151515151512,113.64186558320634
2015,Shojaeian and Koşar,Pool boiling and flow boiling on micro- and nanostructured surfaces,10,Microstructured (upper),23.878787878787875,167.76451667513118
